service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
JUN22-JUNDA22-Weekday-22,1,1,1,1,1,0,0,20220718,20220902
JUN22-JUL2122-Weekday-51,1,1,1,1,1,0,0,20220721,20220721
JUN22-JUNSA22-Saturday-20,0,0,0,0,0,1,0,20220723,20220903
JUN22-JUNSU22-Sunday-20,0,0,0,0,0,0,1,20220724,20220828
JUN22-CivHol22-Sunday-26,0,0,0,0,0,0,1,20220801,20220801
JUN22-w2000Low-Weekday-03,1,1,1,1,1,0,0,20220726,20220726
JUN22-MThCFD-Weekday-01,1,1,1,1,1,0,0,20220718,20220901
JUN22-FRICFD-Weekday-01,1,1,1,1,1,0,0,20220722,20220902
JUN22-SATCFD-Saturday-01,0,0,0,0,0,1,0,20220723,20220903
JUN22-SUNCFD-Sunday-01,0,0,0,0,0,0,1,20220724,20220828
JUN22-JunSc22-Weekday-14,1,1,1,1,1,0,0,20220830,20220902
JUN22-301Shop-Weekday-01,1,1,1,1,1,0,0,20220718,20220829
JUN22-302Shop-Weekday-01,1,1,1,1,1,0,0,20220719,20220830
JUN22-303Shop-Weekday-01,1,1,1,1,1,0,0,20220720,20220831
JUN22-304Shop-Weekday-01,1,1,1,1,1,0,0,20220721,20220901
JUN22-305Shop-Weekday-01,1,1,1,1,1,0,0,20220722,20220902
