route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1-340,1,,,0,,DA291C,FFFFFF
2-340,2,,,3,,65A233,FFFFFF
5-340,5,,,3,,6E6E70,FFFFFF
6-340,6,,,3,,D74100,FFFFFF
7-340,7,,,3,,D74100,FFFFFF
9-340,9,,,3,,6E6E70,FFFFFF
10-340,10,,,3,,D74100,FFFFFF
11-340,11,,,3,,D74100,FFFFFF
12-340,12,,,3,,D74100,FFFFFF
14-340,14,,,3,,D74100,FFFFFF
15-340,15,,,3,,D74100,FFFFFF
16-340,16,,,3,,6E6E70,FFFFFF
18-340,18,,,3,,6E6E70,FFFFFF
19-340,19,,,3,,6E6E70,FFFFFF
20-340,20,,,3,,6E6E70,FFFFFF
21-340,21,,,3,,E6E6E6,58595B
23-340,23,,,3,,E6E6E6,58595B
24-340,24,,,3,,6E6E70,FFFFFF
25-340,25,,,3,,D74100,FFFFFF
26-340,26,,,3,,6E6E70,FFFFFF
27-340,27,,,3,,E6E6E6,58595B
28-340,28,,,3,,6E6E70,FFFFFF
30-340,30,,,3,,6E6E70,FFFFFF
31-340,31,,,3,,E6E6E6,58595B
32-340,32,,,3,,E6E6E6,58595B
33-340,33,,,3,,E6E6E6,58595B
34-340,34,,,3,,6E6E70,FFFFFF
35-340,35,,,3,,6E6E70,FFFFFF
37-340,37,,,3,,E6E6E6,58595B
38-340,38,,,3,,6E6E70,FFFFFF
39-340,39,,,3,,0056B8,FFFFFF
40-340,40,,,3,,D74100,FFFFFF
42-340,42,,,3,,6E6E70,FFFFFF
44-340,44,,,3,,D74100,FFFFFF
45-340,45,,,3,,0056B8,FFFFFF
46-340,46,,,3,,6E6E70,FFFFFF
47-340,47,,,3,,E6E6E6,58595B
48-340,48,,,3,,6E6E70,FFFFFF
49-340,49,,,3,,6E6E70,FFFFFF
50-340,50,,,3,,6E6E70,FFFFFF
51-340,51,,,3,,D74100,FFFFFF
53-340,53,,,3,,D74100,FFFFFF
54-340,54,,,3,,6E6E70,FFFFFF
55-340,55,,,3,,6E6E70,FFFFFF
56-340,56,,,3,,E6E6E6,58595B
57-340,57,,,3,,0056B8,FFFFFF
