route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
301-340,JUN22-301Shop-Weekday-01,86352680-JUN22-301Shop-Weekday-01,"Bayshore / Carlingwood",0,10658745,3010054
301-340,JUN22-301Shop-Weekday-01,86352684-JUN22-301Shop-Weekday-01,"Richmond / Stittsville",1,10658745,3010053
302-340,JUN22-302Shop-Weekday-01,86352689-JUN22-302Shop-Weekday-01,"St Laurent / Place D'Orléans",0,10658747,3020030
302-340,JUN22-302Shop-Weekday-01,86352693-JUN22-302Shop-Weekday-01,"Cumberland",1,10658747,3020031
303-340,JUN22-303Shop-Weekday-01,86352697-JUN22-303Shop-Weekday-01,"Bayshore / Carlingwood",0,10658749,3030049
303-340,JUN22-303Shop-Weekday-01,86352698-JUN22-303Shop-Weekday-01,"Dunrobin / Carp / Stittsville",1,10658749,3030047
304-340,JUN22-304Shop-Weekday-01,86352705-JUN22-304Shop-Weekday-01,"Billings Bridge / South Keys",0,10658751,3040021
304-340,JUN22-304Shop-Weekday-01,86352709-JUN22-304Shop-Weekday-01,"Osgoode / Greely / Metcalfe",1,10658751,3040022
305-340,JUN22-305Shop-Weekday-01,86352713-JUN22-305Shop-Weekday-01,"Carlingwood",0,10658753,3050038
305-340,JUN22-305Shop-Weekday-01,86352717-JUN22-305Shop-Weekday-01,"North Gower / Manotick",1,10658753,3050036
6-340,JUN22-CivHol22-Sunday-26,86376149-JUN22-CivHol22-Sunday-26,"Rockcliffe",1,10660187,60979
6-340,JUN22-CivHol22-Sunday-26,86376151-JUN22-CivHol22-Sunday-26,"Greenboro",0,10660187,61006
6-340,JUN22-CivHol22-Sunday-26,86376153-JUN22-CivHol22-Sunday-26,"Rockcliffe",1,10660187,60977
6-340,JUN22-CivHol22-Sunday-26,86376154-JUN22-CivHol22-Sunday-26,"Greenboro",0,10660187,61005
2-340,JUN22-CivHol22-Sunday-26,86376157-JUN22-CivHol22-Sunday-26,"Bayview",0,10660187,20779
2-340,JUN22-CivHol22-Sunday-26,86376158-JUN22-CivHol22-Sunday-26,"South keys",1,10660187,20790
